Question,Answer
question,answer
was abraham lincoln the sixteenth president of the united states,yes
did lincoln sign the national banking act of 1863,yes
did his mother die of pneumonia,no
how many long was lincolns formal education,18 months
when did lincoln begin his political career,1832
what did the legal tender act of 1862 establish,the united states note the first paper currency in united states history
who suggested lincoln grow a beard,11yearold grace bedell
who suggested lincoln grow a beard,grace bedell
when did the gettysburg address argue that america was born,1776
did lincoln beat john c breckinridge in the 1860 election,yes
was abraham lincoln the first president of the united states,no
did lincoln start his political career in 1832,yes
did lincoln ever represent alton  sangamon railroad,yes
which county was lincoln born in,hardin county
which county was lincoln born in,southeast hardin county kentucky
when did lincoln first serve as president,march 4 1861
who assassinated lincoln,john wilkes booth
did lincoln win the election of 1860,yes
who was the general in charge at the battle of antietam,general mcclellan
who was the general in charge at the battle of antietam,john alexander mcclernand
why did lincoln issue the emancipation proclamation,to free slaves
why did lincoln issue the emancipation proclamation,the goal was to weaken the rebellion which was led and controlled by slave owners
do scholars rank lincoln among the top three presidents,yes
did lincoln have 18 months of schooling,yes
was lincoln chosen as a presidential candidate in 1860,yes
how old was lincoln in 1816,seven
when was the first photgraph of lincoln taken,1846
how long was lincolns legal career,23 years
what trail did lincoln use a farmers almanac in,he defended william duff armstrong
did abraham lincoln live in the frontier,yes
did lincolns wifes family support slavery,yes
who is most noted for his contributions to the theory of molarity and molecular weight,amedeo avogadro
who graduated in ecclesiastical law at the early age of 20 and began to practice,amedeo avogadro
who graduated in ecclesiastical law at the early age of 20 and began to practice,blah
when did he publish another memoria,1821
when did he become a professor,1820
is it true that he became a professor in 1820,yes
was lorenzo romano amedeo carlo avogadro an italian savant,yes
was amedeo avogadro born in turin august 9th 1776 to a noble ancient family of piedmont italy,yes
is he most noted for his contributions to the theory of molarity and molecular weight,yes
was king victor emmanuel iii there to pay homage to avogadro,yes
is avogadro s number commonly used to compute the results of chemical reactions,yes
did the scientific community not reserve great attention to his theory,yes
can the title of this famous 1811 paper be roughly translated into english,yes
what happened in 1833,avogadro had been recalled to turin university
what happened in 1833,blah blah blah
who determined the dependence of the boiling of water with atmospheric pressure,anders celsius
what is named after him,the celsius crater on the moon
when did he publish a collection,1733
is it true that he published a collection in 1738,no
is it true that thermometer had 100 for the freezing point,yes
was celsius born in uppsala in sweden,yes
was anders celsius november 27 1701 april 25 1744 a swedish astronomer,yes
is the celsius crater on the moon named after him,yes
who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds,anders celsius
the celsius crater on the moon is what,named after him
had his thermometer 100 for the freezing point of water and 0 for the boiling point,yes it had
did he not determine the dependence of the boiling of water with atmospheric pressure lrb in excellent agreement with modern data rrb,yes he did
what happened from 1730 to 1744,he was professor of astronomy at uppsala university
what happened in 1745,the scale was reversed
are beetles insects,yes
can beetles be found in polar regions,no
do beetles antennae function primarily as organs of smell,yes
what are the three sections of a beetle,the head the thorax and the abdomen
which defense mechanism uses colour or shape to deceive potential enemies,mimicry
which type of beetle is a pest of potato plants,colorado potato beetle
how can beetle larvae be differentiated from other insect larvae,their hardened often darkened head the presence of chewing mouthparts and spiracles along the sides of the body
how can beetle larvae be differentiated from other insect larvae,by their hardened often darkened head the presence of chewing mouthparts and spiracles along the sides of the body
what do beetles eat,some are generalists eating both plants and animals other beetles are highly specialised in their diet
what do beetles eat,they often feed on plants and fungi break down animal and plant debris and eat other invertebrates
what are the similarities between beetles and grasshoppers,mouthparts
what are the similarities between beetles and grasshoppers,beetles have mouthparts similar to those of grasshoppers
are certain species of beetles considered pests,yes
is a beetles general anatomy uniform,yes
are beetles endopterygotes,yes
how many species of beetles are there,350000
how many species of beetles are there,about 350000
when are sperm cells transferred to the female,during pairing
what is the study of beetles called,coleopterology
is it possible that there are more than 350000 species of beetles,yes
is the adephaga suborder larger than the polyphaga suborder,no
is the adephaga suborder larger than the polyphaga suborder,yes
do carrion beetles eat dung,no
what are prey of various animals including birds and mammals,beetles
what was given by aristotle for the hardened shield like forewings,the name coleoptera
who or what vary greatly in form within the coleoptera,antennae
are many beetles territorial,yes
are beetles endopterygotes with complete metamorphosis,yes
oxygen is what,one kind of gas obtained via a tracheal system
is there a thriving industry in the collection of beetle specimens for amateur and professional collectors,yes
have coleopterists formed organisations to facilitate the study of beetles,yes
is the study of beetles called coleopterology  and its practitioners are coleopterists,yes
may a single female lay from several dozen to several thousand eggs during her lifetime,yes
can beetles be found in almost all habitats,yes
what happened on plants and fungi,they are food to beetles
was calvin coolidge the twentyninth vice president,no
was calvin coolidge the twentyninth vice president,yes
was calvin coolidge born in plymouth windsor county vermont,yes
did coolidge graduate from black river academy,yes
when did he drop john from his name,upon graduating from college
when did coolidge meet and marry grace anna goodhue,1905
when did coolidge meet and marry grace anna goodhue,in 1905
what period of rapid economic growth did the united states experience during coolidges presidency,the roaring twenties
what did coolidge do after graduating from amherst,coolidge moved to northampton massachus08setts
what did coolidge do after graduating from amherst,coolidge moved to northampton massachus08setts to take up the practice of law
of what state was coolidge governor,massachus08setts
who appointed harlan fiske stone to the supreme court,coolidge
was coolidge the thirteenth president of the united states,no
was coolidge the thirteenth president of the united states,yes
was calvin coolidge republican,yes
was calvin coolidge a governor of massachus08setts,yes
when was coolidge born,july 4 1872
when was coolidge born,plymouth windsor county vermont
where did coolidges grandfather had government offices,plymouth
where did coolidges grandfather had government offices,the town of plymouth notch
which state were coolidge born in,plymouth windsor county vermont
which state were coolidge born in,vermont
is calvin jr older than john coolidge,no
did coolidge get in amherst college,yes
what caused calvin jrs death,heart attack
was john calvin coolidge jr was born in las vegas,no
was coolidge opposed in the republican nomination for governor of massachus08setts in 1918,yes
was coolidge opposed in the republican nomination for governor of massachus08setts in 1918,no
did coolidge meet and marry grace anna goodhue,yes
what year did coolidge open his own law office,1898
what fraternity was coolidge a member of,phi gamma delta
in 1905 coolidge met and married whom,grace anna goodhue
why did coolidge not attend law school,it was too expensive
